state,total_institutions,total_enrollment_k,male_enrollment_k,female_enrollment_k,phd_students,govt_institutions,private_institutions,gpi,gross_enrolment_ratio
Andhra Pradesh,3206,818.2,425.1,393.1,12400,1103,2103,0.924,32.1
Arunachal Pradesh,72,18.5,10.2,8.3,180,42,30,0.814,15.2
Assam,991,372.8,192.4,180.4,4200,347,644,0.938,22.4
Bihar,869,599.7,342.1,257.6,5100,430,439,0.753,14.1
Chhattisgarh,1059,419.1,215.3,203.8,3800,387,672,0.947,28.3
Goa,87,56.2,26.8,29.4,1200,29,58,1.097,48.5
Gujarat,3447,917.0,491.0,426.0,15200,832,2615,0.868,26.8
Haryana,1183,596.5,321.4,275.1,9800,302,881,0.856,35.2
Himachal Pradesh,369,122.7,60.2,62.5,2100,201,168,1.038,42.1
Jharkhand,690,266.3,148.2,118.1,2900,215,475,0.797,19.8
Karnataka,4014,1184.0,614.0,570.0,28400,1047,2967,0.928,36.5
Kerala,1606,642.8,289.3,353.5,11200,478,1128,1.222,43.2
Madhya Pradesh,2748,878.6,462.3,416.3,11600,659,2089,0.9,28.4
Maharashtra,4979,2036.0,1058.0,978.0,38200,1205,3774,0.924,37.2
Manipur,104,57.8,28.9,28.9,680,56,48,1.0,28.9
Meghalaya,120,43.2,20.1,23.1,540,62,58,1.149,29.3
Mizoram,40,23.7,11.2,12.5,280,27,13,1.116,38.4
Nagaland,66,24.5,12.3,12.2,310,37,29,0.992,21.3
Odisha,1498,563.5,293.2,270.3,8100,597,901,0.922,27.8
Punjab,1026,526.4,264.2,262.2,8900,232,794,0.992,35.6
Rajasthan,3213,1079.5,591.3,488.2,14200,805,2408,0.825,28.9
Sikkim,38,15.8,7.9,7.9,210,18,20,1.0,44.2
Tamil Nadu,6131,1692.5,836.5,856.0,42500,921,5210,1.023,51.4
Telangana,2994,835.7,424.8,410.9,18600,673,2321,0.967,42.8
Tripura,114,59.4,30.5,28.9,720,68,46,0.948,31.2
Uttar Pradesh,8380,3116.0,1692.0,1424.0,32400,2294,6086,0.842,29.8
Uttarakhand,781,282.4,145.2,137.2,4800,215,566,0.945,42.3
West Bengal,1626,957.8,481.4,476.4,18900,571,1055,0.99,29.7
Delhi,622,609.2,316.3,292.9,25400,182,440,0.926,45.3
Jammu & Kashmir,390,188.4,97.2,91.2,2800,231,159,0.938,33.4
Andaman & Nicobar,12,8.2,4.0,4.2,80,8,4,1.05,38.1
Chandigarh,44,49.8,25.2,24.6,2100,10,34,0.976,62.4
Dadra & Nagar Haveli,8,7.1,3.8,3.3,45,4,4,0.868,29.2
Daman & Diu,11,7.4,3.9,3.5,40,5,6,0.897,35.1
Lakshadweep,3,1.2,0.6,0.6,8,2,1,1.0,18.3
Puducherry,88,51.8,24.9,26.9,1800,24,64,1.08,48.9
Ladakh,18,9.6,5.2,4.4,95,14,4,0.846,21.3
